Location,Latitude,Longitude,Area_ID,Reporting_District_no,Part 1-2,Modus_Operandi,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Weapon_Used_Code,Status,Crime_Category,Hours_Occurred,Reported_Year,Reported_Month,Reported_Weekday,Occurred_Day,Occurred_Weekday,Time_Difference_Log
700 W  182ND                        ST,33.8698,-118.2858,5,501,1,0344 0385 1300,50,M,W,243,0.0,IC,0,29.15,2020,4,0,5,6,3.2188758248682006
600 S  ALVARADO                     ST,34.0596,-118.2749,2,246,1,0910 1822 0344 0416 0446 2050 2052 0301 0207,43,F,H,904,400.0,IC,0,26.6325,2020,4,6,12,6,0.0
5900    SEPULVEDA                    BL,34.1776,-118.4662,9,941,1,1606 0344,43,M,O,108,0.0,IC,0,43.195,2020,2,1,24,0,3.2188758248682006
6700    GLADE                        AV,34.1922,-118.6081,21,2145,2,1501,35,F,W,503,0.0,AA,2,0.7949999999999999,2020,4,2,17,4,4.795790545596741
PACIFIC,34.0046,-118.4293,14,1446,1,1100 0430 1419 1822 1407 1420 1309 1310 1270 0906,23,M,W,101,109.0,JA,1,24.38,2020,8,3,27,3,0.0
6300 S  HARCOURT                     AV,33.9844,-118.3407,12,1231,2,0417 0448 0416 0361,27,F,B,101,400.0,IC,1,45.05,2020,9,2,2,2,0.0
3400    PERCY                        ST,34.0287,-118.1999,4,478,2,0416 1822,39,M,W,710,400.0,IC,1,5.565,2020,5,5,2,5,0.0
10900    OTSEGO                       ST,34.1626,-118.3698,15,1557,2,0377 0923 0930 0935 0928 0929 0922 0917,49,M,W,248,0.0,IC,3,34.45,2021,1,2,15,1,6.762729506931879
4TH                          ST,34.0408,-118.2122,4,464,1,,0,,,108,0.0,IC,0,37.1,2020,11,2,4,2,0.0
CAMULOS,34.0257,-118.2139,4,487,1,0337 0334 0344,25,M,H,101,102.0,IC,0,62.4075,2020,1,0,5,6,3.2188758248682006
103RD                        ST,33.9432,-118.2462,18,1826,2,0601 0217 0416 1822 1237,57,M,B,203,400.0,IC,1,35.775,2020,5,0,4,0,0.0
1100 W  30TH                         ST,34.0274,-118.2867,3,338,1,1612 0329 1251 1300,21,F,B,707,0.0,IC,0,58.3,2020,1,0,5,6,3.2188758248682006
400    MONTECITO                    DR,34.0953,-118.2019,4,402,2,100,20,F,H,501,0.0,IC,3,37.1,2020,3,2,13,3,6.175867270105761
400 E  109TH                        ST,33.9374,-118.2681,18,1844,2,2000 0913 1814 0400 0446,29,M,B,101,400.0,IC,1,39.75,2020,1,4,17,4,0.0
12700    TELFAIR                      AV,34.3005,-118.4678,19,1921,2,329,50,M,W,101,0.0,IC,0,0.026500000000000003,2020,5,0,3,6,3.2188758248682006
116TH                        ST,33.9292,-118.2652,18,1863,2,1822 0910 2004 0446 1212 0307 2003,29,F,H,124,400.0,IC,1,10.6,2020,5,3,14,3,0.0
5300    NAVARRO                      ST,34.0879,-118.1672,4,429,2,100,19,F,W,602,0.0,IC,3,38.16,2020,4,1,18,5,5.484796933490655
12100    VENTURA                      BL,34.1436,-118.3953,15,1591,1,0344 0366 0906 1822 0206 0341 0382 0334 0209 0337,0,X,X,210,102.0,AA,0,60.95,2020,1,6,11,5,3.2188758248682006
700 E  17TH                         ST,34.029,-118.2562,13,1313,1,1822 1300 1309 0443 0334,51,M,H,101,102.0,IC,2,27.029999999999998,2020,7,6,19,6,0.0
2800    LANCASTER                    AV,34.0571,-118.1946,4,448,1,344,57,M,H,702,0.0,IC,0,50.35,2020,4,1,21,5,6.61338421837956
14800    OTSEGO                       ST,34.163,-118.4553,9,963,1,2000 0416 0447 1813 0444 1414 0913,48,M,W,501,400.0,AO,1,23.85,2022,8,2,27,6,9.559940347242952
11800 S  FIGUEROA                     ST,33.9274,-118.2871,18,1861,2,1822 0329 1407,38,M,H,502,0.0,AO,0,34.8475,2020,9,6,20,6,0.0
1200    5TH                          AV,34.0494,-118.3216,7,759,1,0390 1402 0432 0429,46,F,A,104,400.0,IC,0,48.0975,2020,4,2,8,2,0.0
9100    VAN NUYS                     BL,34.2389,-118.4536,19,1964,2,329,22,X,X,210,0.0,IC,0,53.795,2020,11,3,19,3,0.0
7TH                          ST,34.0547,-118.2729,2,256,1,,0,,,101,0.0,IC,0,39.75,2020,4,2,29,2,0.0
11800    STANFORD                     AV,33.9271,-118.2659,18,1863,1,,0,,,101,0.0,IC,0,55.65,2020,11,2,2,0,3.8918202981106265
100 W  5TH                          ST,34.0467,-118.2485,1,154,2,0329 1822 1402,0,M,W,122,0.0,IC,0,32.595,2020,5,5,29,4,3.2188758248682006
21000    BLYTHE                       ST,34.2152,-118.5912,21,2126,2,2038 0913 1402,60,F,B,501,0.0,AO,2,60.95,2020,10,4,22,3,5.262690188904886
5200    RIGOLETTO                    ST,34.1647,-118.6243,21,2173,2,2040 0913 1906,35,F,W,502,0.0,AO,2,27.083,2020,9,3,17,3,0.0
8TH                          ST,34.0577,-118.2998,20,2034,2,0913 0305 0446 0416 0429,54,M,H,102,400.0,IC,1,40.6775,2020,10,6,4,6,0.0
1000 N  WILTON                       PL,34.0885,-118.3136,6,657,2,0329 1307 1609,52,M,H,108,0.0,IC,0,6.095,2020,8,0,17,0,0.0
1600 W  2ND                          ST,34.0613,-118.2638,2,237,2,329,25,H,F,103,0.0,IC,0,58.3,2020,1,4,3,4,0.0
20900 W  VENTURA                      BL,34.1664,-118.5883,21,2187,1,0344 0377,26,M,X,210,0.0,IC,0,48.8925,2020,5,3,27,2,3.2188758248682006
300 S  MAIN                         ST,34.0481,-118.2472,1,135,1,1307 0344,41,M,W,707,0.0,IC,0,37.1,2020,6,4,16,1,4.290459441148391
SLAUSON,33.9892,-118.2827,12,1219,2,0910 0448 0342 0416,26,M,H,801,400.0,IC,1,53.795,2020,9,2,23,2,0.0
90TH,33.9547,-118.2739,18,1802,1,1822 1300 1310 1240 0450,0,M,X,101,106.0,IC,1,53.397499999999994,2020,7,6,18,5,3.2188758248682006
6100 W  CENTURY                      BL,33.9472,-118.3909,14,1496,2,0344 1300,0,X,X,203,0.0,AO,3,45.341499999999996,2020,4,3,7,5,6.437751649736401
7900    AVALON                       BL,33.9669,-118.2652,12,1269,1,0344 1814 0913,42,F,H,501,0.0,AA,0,15.9,2020,9,6,25,4,3.8918202981106265
100 W  71ST                         ST,33.9756,-118.2744,13,1393,1,,0,,,101,0.0,IC,0,2.65,2020,7,0,20,0,0.0
8100    LANGDON                      AV,34.218,-118.4688,19,1991,1,0445 1259 0444 0913 0416 0334,15,M,H,102,200.0,AA,1,47.965,2020,2,3,20,3,0.0
5200    LONG BEACH                   AV,33.9951,-118.2432,13,1367,2,0913 0421 0319,21,F,B,501,102.0,AA,2,51.145,2020,3,4,20,4,0.0
800 N  ALAMEDA                      ST,34.0561,-118.2375,1,119,2,0910 0416 1601,45,M,H,834,400.0,IC,1,59.36,2020,10,6,11,6,0.0
BUSWAY,34.1757,-118.4846,10,1049,2,0416 1822 0910,29,F,H,874,400.0,IC,1,37.4975,2020,2,0,17,0,0.0
5700    VIRGINIA                     AV,34.0918,-118.3136,6,668,2,329,59,F,H,502,0.0,IC,0,51.145,2020,1,4,24,4,0.0
CRENSHAW                     BL,33.9745,-118.3309,12,1251,1,0216 0342 0344 1822 0390 1309 1307 1310 1313,31,F,B,101,400.0,IC,0,40.942499999999995,2020,3,3,12,3,0.0
1000 E  WASHINGTON                   BL,34.0259,-118.2535,13,1313,1,344,46,M,H,108,0.0,IC,0,47.7,2020,4,6,12,6,0.0
700 N  HAYWORTH                     AV,34.0838,-118.3627,7,701,1,344,70,M,O,104,0.0,IC,0,8.3475,2020,4,6,5,6,0.0
11100    AQUA VISTA                   ST,34.145,-118.3725,15,1585,1,,0,,,101,0.0,IC,0,34.45,2020,4,3,16,3,0.0
4500 W  2ND                          ST,34.0712,-118.3116,20,2011,1,1822 0385 0344 1607,26,F,K,502,0.0,IC,0,0.7949999999999999,2020,4,4,19,6,4.795790545596741
ZELZAH,34.1868,-118.5229,10,1035,1,0416 1402 2004 0445 1213 0202 0319 0359 1822,53,M,W,101,218.0,AA,1,34.45,2020,8,6,16,6,0.0
600 W  127TH                        ST,33.917,-118.287,18,1831,1,,0,,,101,0.0,IC,0,47.7,2020,10,0,25,6,3.2188758248682006
100 W  109TH                        ST,33.9374,-118.2744,18,1842,2,2000 0913 1813 0416 0444 0362 2033,25,F,H,501,400.0,IC,1,51.145,2020,7,6,5,6,0.0
7300    ALPINE                       WY,34.2762,-118.291,16,1619,1,344,30,F,O,101,0.0,IC,0,50.35,2020,12,1,29,6,3.8918202981106265
7600    VAN NUYS                     BL,34.2084,-118.4599,9,904,2,329,0,X,X,210,0.0,IC,0,58.565000000000005,2020,8,5,21,4,3.2188758248682006
103RD                        ST,33.9428,-118.2781,18,1822,1,1300 0371 0450 0906 1822,28,M,B,102,109.0,JO,1,39.75,2020,2,6,2,6,0.0
3400    GREENFIELD                   AV,34.0233,-118.42,14,1428,1,,0,,,101,0.0,IC,0,50.35,2020,4,5,10,4,3.2188758248682006
100 S  CENTRAL                      AV,34.0492,-118.2391,1,128,1,1609 0344 1822 0324 0329 1414,0,X,X,203,306.0,AA,0,59.784000000000006,2020,3,0,30,0,0.0
1800    LEMOYNE                      ST,34.0846,-118.2549,11,1183,1,0344 0385,37,M,W,101,0.0,IC,0,47.7,2020,5,1,24,4,6.07073772800249
MARCO                        PL,34.0045,-118.4448,14,1434,2,0400 1813 2000,28,F,H,101,500.0,AO,1,58.3,2020,6,2,2,1,5.262690188904886
5100    WADENA                       ST,34.0929,-118.1708,4,409,1,,0,,,101,0.0,IC,0,32.595,2020,2,5,3,0,4.795790545596741
600 S  GRAND                        AV,34.0488,-118.2553,1,152,1,0385 1300 1822 0344,26,F,W,108,0.0,IC,0,61.3475,2020,3,4,12,3,3.2188758248682006
12400    VENTURA                      CT,34.1431,-118.4049,15,1591,1,,0,,,101,0.0,IC,0,61.745000000000005,2020,7,2,26,4,5.666426688112432
PARTHENIA                    ST,34.2282,-118.5929,17,1791,1,0337 1822 0400 0369 0344 0417 0416 1816 0906,18,M,H,101,400.0,IC,0,0.026500000000000003,2020,2,0,17,0,0.0
1000 S  OLIVE                        ST,34.042,-118.2599,1,182,1,0394 1822,39,M,F,502,0.0,IC,0,35.245000000000005,2020,12,5,30,0,4.795790545596741
6400    RESEDA                       BL,34.1847,-118.5441,10,1033,1,1822 1414,28,F,H,101,0.0,IC,0,50.35,2020,4,3,22,2,3.2188758248682006
2900    HAUSER                       BL,34.0271,-118.3648,3,311,2,1822 1309 0416 0446 0417 0448 0329,35,F,B,501,400.0,IC,1,38.425,2020,6,3,25,3,0.0
3800    MONTEREY                     RD,34.0907,-118.188,4,407,1,0906 1100 0430 1822 1407 1402,38,M,H,108,109.0,IC,4,55.915000000000006,2020,6,0,15,0,0.0
S  CLOVERDALE                   AV,34.0623,-118.3462,7,745,1,1608 0344,50,M,O,101,0.0,IC,0,47.7,2021,2,5,22,1,7.007600613951853
100 W  JEFFERSON                    BL,34.0223,-118.2719,13,1331,1,,0,,,101,0.0,IC,0,21.2,2020,7,4,17,4,0.0
9000    AIRPORT                      BL,33.9546,-118.3858,14,1488,2,1300,0,X,X,203,0.0,IC,3,50.879999999999995,2020,6,2,23,6,7.860570785538664
11700    KISMET                       AV,34.2829,-118.3904,16,1605,1,0344 0327,44,F,H,101,0.0,IC,0,16.43,2020,2,2,26,2,0.0
22200    SHERMAN                      WY,34.201,-118.6107,21,2134,2,416,63,M,O,203,400.0,IC,1,59.75749999999999,2020,12,2,15,1,3.2188758248682006
1500 W  PICO                         BL,34.0453,-118.2738,2,289,1,0344 1300 0329 1202 0216,42,F,H,101,0.0,IC,0,26.5,2020,10,2,26,0,3.8918202981106265
3300    PASADENA                     AV,34.0832,-118.2137,4,413,2,2038 0561,70,M,H,121,0.0,AA,2,35.245000000000005,2020,10,1,27,1,0.0
5800 W  CENTINELA                    AV,33.9767,-118.3838,14,1469,2,344,62,M,H,255,0.0,IC,3,32.595,2020,2,5,1,5,0.0
3600    ADAIR                        ST,34.0142,-118.2672,13,1342,1,344,50,F,H,501,0.0,IC,0,29.15,2020,2,3,13,3,0.0
600    SAINT PAUL                   AV,34.0535,-118.2609,2,249,2,0444 1822,30,F,W,502,400.0,IC,1,54.059999999999995,2020,1,5,11,5,0.0
6500 W  HOLLYWOOD                    BL,34.1034,-118.3325,6,636,2,1501 1822 2004,0,X,X,207,0.0,IC,2,1.06,2020,3,6,8,6,0.0
1200    LODI                         PL,34.0926,-118.3234,6,666,2,0400 0419 0416 1822,37,F,H,121,400.0,IC,1,21.995,2020,7,5,4,5,0.0
4300    NOGALES                      DR,34.1501,-118.5477,10,1083,1,1202 1822 0344 1606,82,M,W,101,0.0,IC,0,55.65,2020,9,1,27,3,4.795790545596741
6100 W  SUNSET                       BL,34.098,-118.3223,6,666,1,1609 0344 1300 1822,33,M,H,108,0.0,IC,0,0.026500000000000003,2020,3,6,8,6,0.0
FLORENCE                     AV,33.9746,-118.3046,12,1243,1,1822 0445 0416 0429,31,F,B,101,312.0,IC,1,0.026500000000000003,2020,6,1,16,1,0.0
600 W  82ND                         ST,33.9661,-118.2849,12,1266,1,1309 0371 0334 0346 0202 1822,37,M,H,108,102.0,IC,0,62.275,2020,9,5,18,4,3.2188758248682006
4000    DALTON                       AV,34.0103,-118.3034,3,397,1,0913 1309 1407 0302 0312 0449 0450,19,X,X,101,102.0,AA,1,53.795,2020,12,1,8,1,0.0
CRENSHAW,34.0256,-118.3351,3,334,2,2000 1814 0448 0319,30,F,B,301,400.0,IC,1,48.8925,2020,1,0,27,0,0.0
5900    CHULA VISTA                  WY,34.1074,-118.3193,6,628,2,1822 0930,39,F,W,502,0.0,IC,3,54.059999999999995,2020,7,4,26,4,5.820082930352362
2500    FAIRMOUNT                    ST,34.0512,-118.2025,4,456,2,1202 0329,60,M,H,502,0.0,IC,0,55.65,2020,5,1,25,0,3.2188758248682006
5500    WESTLAWN                     AV,33.9793,-118.4139,14,1463,1,344,31,F,W,108,0.0,IC,0,38.0275,2020,8,0,3,0,0.0
500 S  CORONADO                     ST,34.0628,-118.2811,2,251,2,0416 1206 2002 0448 0361 0603,41,M,W,501,400.0,AO,1,5.3,2020,4,0,21,5,5.953243334287785
9800 S  FIGUEROA                     ST,33.9472,-118.2826,18,1822,1,0344 0337 0421 0432 0327 1822 0334,41,M,H,101,106.0,IC,0,59.49250000000001,2020,5,2,6,2,0.0
6200    DE LONGPRE                   AV,34.0962,-118.3266,6,666,1,,0,,,101,0.0,IC,0,55.65,2020,11,6,29,3,4.290459441148391
5400    WHITE OAK                    AV,34.1693,-118.5184,10,1067,1,1822 0344 1202 1300 0352,59,F,W,123,0.0,IC,0,47.7,2021,1,4,3,5,7.822845290279774
SOTO,34.0477,-118.2072,4,455,2,1822 0416,21,F,H,101,400.0,IC,1,32.9925,2020,5,2,26,1,3.2188758248682006
21900    VANOWEN                      ST,34.1938,-118.6044,21,2156,1,325,50,M,W,404,0.0,IC,0,48.495000000000005,2020,6,5,20,5,0.0
1100    BELLEVUE                     AV,34.0653,-118.2492,2,219,1,0329 1307 1609 0321,33,M,W,101,0.0,IC,0,61.745000000000005,2020,8,2,15,5,4.574710978503383
300 W  FLORENCE                     AV,33.9747,-118.2787,12,1256,1,1402 0344 0329,0,X,X,708,0.0,AO,0,2.65,2020,4,2,22,2,0.0
6200    WARNER                       DR,34.0622,-118.3635,7,742,1,1822 0431 1501 2004,72,M,B,101,512.0,IC,1,31.8,2020,1,6,19,6,0.0
400 N  VIRGIL                       AV,34.0777,-118.2868,2,212,2,0100 0923 1822,45,F,W,501,0.0,IC,3,21.2,2020,1,6,12,6,0.0
12800    VANOWEN                      ST,34.194,-118.4119,15,1512,1,344,0,M,W,210,0.0,AA,0,19.08,2020,1,3,30,3,0.0
NORMANDIE,34.1018,-118.3006,6,639,2,0305 2004 1822 0400 0444 0448,50,M,W,101,400.0,IC,1,32.065,2020,10,4,9,4,0.0
6300    YUCCA                        ST,34.1038,-118.3267,6,636,1,0400 0444 1822 0216 0416,38,M,H,503,400.0,IC,0,27.427500000000002,2020,2,3,13,3,0.0
600    GLADYS                       AV,34.04,-118.2424,1,158,1,1601 0321 1414 0329 0344 1822 1607,0,X,X,203,0.0,IC,0,59.49250000000001,2020,7,0,19,6,3.2188758248682006
12100    BROOKMONT                    AV,34.2917,-118.4629,19,1924,2,0329 1300 1307,51,F,W,101,102.0,IC,0,48.495000000000005,2020,1,4,24,4,0.0
WHITSETT                     AV,34.202,-118.405,15,1513,1,385,31,M,H,101,0.0,IC,0,13.25,2020,8,4,21,4,0.0
1200    DEWEY                        AV,34.0473,-118.2958,20,2056,2,0913 2000 1814 0444 2002,40,F,H,501,400.0,AO,1,59.75749999999999,2020,6,2,17,2,0.0
ERWIN                        ST,34.1831,-118.3703,15,1527,1,1402 0344 0334 0355 0443 0329 0421 1822 2002,0,M,W,102,200.0,AA,0,54.457499999999996,2020,10,5,31,5,0.0
7000 W  SUNSET                       BL,34.098,-118.3416,6,645,2,0329 0216,0,X,X,401,0.0,IC,0,30.21,2020,5,1,12,1,0.0
1300 N  AVALON                       BL,33.7868,-118.2658,5,516,1,,0,,,101,0.0,IC,0,55.65,2020,12,2,29,1,3.2188758248682006
6400    WOODMAN                      AV,34.1903,-118.4399,9,926,1,0344 1609,73,F,O,108,0.0,IC,0,58.3,2020,5,4,7,3,3.2188758248682006
7400    HILLROSE                     ST,34.2714,-118.2702,16,1619,1,,0,,,101,0.0,IC,0,24.91,2020,4,6,26,6,0.0
WASHINGTON                   BL,34.0268,-118.2555,13,1313,1,0344 1300,42,M,H,102,0.0,IC,0,50.35,2020,3,1,7,5,5.484796933490655
300 W  SEPULVEDA                    ST,33.7451,-118.2835,5,558,2,0329 1300,37,F,O,122,0.0,IC,0,45.05,2020,1,3,22,2,3.2188758248682006
MONA                         BL,33.9334,-118.2304,18,1849,1,0906 0309 0326 0430 1300,36,X,X,101,102.0,IC,1,5.83,2020,10,6,11,6,0.0
4800    VALLEY                       BL,34.0757,-118.1711,4,438,1,344,51,M,H,221,0.0,IC,0,47.7,2020,1,4,14,1,4.290459441148391
500 N  AVALON                       BL,33.7739,-118.2678,5,525,1,0913 1218 2004 0344 0355,59,F,W,102,0.0,IC,0,31.8,2020,2,1,4,1,0.0
ROSE,33.9957,-118.4778,14,1412,2,329,31,F,W,101,0.0,IC,0,29.8125,2020,2,3,13,3,0.0
1400    MATEO                        ST,34.028,-118.2322,13,1309,1,2004 0344 1236,51,F,H,203,0.0,IC,0,32.33,2020,3,1,8,6,3.8918202981106265
1500    WILSHIRE                     BL,34.0546,-118.2684,2,257,1,1822 0329 1302 0321 0358 1402,22,M,W,108,0.0,IC,0,40.81,2020,10,1,19,0,3.2188758248682006
400 S  CATALINA                     ST,34.0672,-118.2954,20,2026,2,1822,24,F,O,501,0.0,IC,3,38.2925,2023,8,4,25,3,10.230810922760002
6TH                          ST,34.0579,-118.2711,2,247,2,0416 0443 0916 1300 0202 1822,41,M,H,102,511.0,AO,2,51.145,2020,5,0,4,0,0.0
4800 W  WASHINGTON                   BL,34.0399,-118.3435,7,785,1,2021 1810,0,X,X,710,506.0,IC,0,40.068,2020,3,3,5,3,0.0
15000    RINALDI                      ST,34.283,-118.4635,19,1931,1,0344 1606,43,F,H,104,0.0,IC,0,45.05,2020,9,2,16,6,6.985641817639208
1200 E  114TH                        ST,33.931,-118.2542,18,1846,2,1814 2000 2038 0913 1300,37,F,H,501,0.0,IC,2,27.295,2020,6,2,17,2,0.0
3600 S  SEPULVEDA                    BL,34.0164,-118.42,14,1437,1,,0,,,707,0.0,IC,0,21.2,2020,9,5,7,0,4.795790545596741
300 E  9TH                          ST,34.0404,-118.2504,1,176,1,,0,,,101,0.0,IC,0,39.75,2020,10,5,10,5,0.0
200 N  MAIN                         ST,34.0532,-118.2425,1,124,2,1414 1822 0329,0,X,X,725,0.0,IC,0,59.49250000000001,2020,9,6,26,5,3.2188758248682006
800 S  OLIVE                        ST,34.0452,-118.2569,1,162,1,1822 0344 2032,41,M,A,503,0.0,AA,0,35.9075,2020,1,6,5,6,0.0
700 S  NORMANDIE                    AV,34.0596,-118.3022,20,2034,2,0100 0930 1822,46,F,B,502,0.0,IC,3,23.85,2020,11,3,19,0,6.3578422665081
ZELZAH,34.2649,-118.5234,17,1735,1,0416 1402 1822 2024 0329 1300,42,M,H,108,304.0,IC,1,43.0625,2020,2,4,21,4,0.0
1800    VINE                         ST,34.1038,-118.3267,6,637,1,1822 0344,36,M,W,120,500.0,IC,0,31.8,2020,5,3,27,0,6.61338421837956
FEDORA,34.0527,-118.2979,20,2055,2,1822 0421 0432,58,M,K,102,511.0,IC,2,51.145,2020,11,3,26,3,0.0
2300    FERNLEAF                     ST,34.0875,-118.2319,11,1176,2,0100 1822,27,M,H,501,0.0,IC,3,32.7275,2023,5,5,1,2,10.296913817032536
4700    KLAMATH                      ST,34.0802,-118.1848,4,427,1,344,21,F,H,109,0.0,AO,0,50.35,2020,3,3,4,2,3.2188758248682006
1500 N  VISTA                        ST,34.098,-118.351,6,643,2,0522 0448 1810 0913,34,F,W,501,400.0,IC,1,43.195,2020,8,0,1,5,3.8918202981106265
SLAUSON                      AV,33.9892,-118.2871,12,1218,2,0400 0416 1822 1309,48,M,H,102,400.0,IC,1,32.86,2020,2,5,29,5,0.0
700    MALTMAN                      AV,34.0818,-118.2822,2,204,2,1202 0329,61,M,H,122,0.0,IC,0,2.65,2020,10,5,3,5,0.0
260TH                        ST,33.7868,-118.3028,5,531,1,1300 0411 0913,43,M,H,101,207.0,AA,1,25.042499999999997,2020,9,4,18,4,0.0
6800    WOODMAN                      AV,34.1976,-118.4356,9,916,1,0344 1402 1607 1300,37,F,H,108,0.0,IC,0,48.495000000000005,2020,8,1,17,0,3.2188758248682006
SUNSET,34.098,-118.3252,6,647,1,,0,,,101,0.0,IC,0,51.675,2020,1,4,9,3,3.2188758248682006
2900    CASITAS                      AV,34.1109,-118.2464,11,1133,1,0344 0397 1602,29,M,W,221,0.0,IC,0,40.545,2020,2,4,2,6,4.795790545596741
4300    PONCA                        AV,34.1484,-118.3489,15,1569,2,0377 0930 0928,64,F,W,750,0.0,IC,3,38.0275,2020,8,3,27,3,0.0
15300    MULHOLLAND                   DR,34.1299,-118.4663,8,806,2,0329 1300,24,M,W,101,0.0,AA,0,3.5775,2020,4,0,27,0,0.0
SPRING                       ST,34.046,-118.2509,1,153,1,2004 1402 0416 1822 0445,23,M,W,102,500.0,AA,1,24.645000000000003,2020,6,2,3,2,0.0
800 W  83RD                         ST,33.9637,-118.2871,12,1267,1,1601 0344,38,F,B,502,0.0,IC,0,31.8,2020,2,1,3,4,7.149131598557407
12600    CASWELL                      AV,33.9995,-118.4347,14,1445,2,329,51,F,H,101,0.0,IC,0,43.195,2020,5,3,7,3,0.0
15100    SHERMAN                      WY,34.2011,-118.4623,9,914,1,0358 0329 0344,26,M,H,123,0.0,IC,0,58.3,2020,10,1,11,6,3.8918202981106265
4000    WEST                         BL,34.0107,-118.3467,3,363,2,0416 0552 0913 1257,2,M,B,502,500.0,IC,4,26.5,2020,9,1,1,1,0.0
2700    DARWIN                       AV,34.0707,-118.2103,4,422,2,2038 2000 0913,47,F,H,501,0.0,IC,2,0.6625,2020,10,4,16,4,0.0
11000    SATICOY                      ST,34.2085,-118.3703,15,1506,1,,0,,,101,0.0,IC,0,50.35,2020,2,1,24,0,3.2188758248682006
9700    SAN FERNANDO                 RD,34.246,-118.4009,16,1663,1,,0,,,108,0.0,IC,0,40.545,2020,12,0,11,4,4.290459441148391
6700    BONSALLO                     AV,33.9789,-118.286,12,1249,2,0342 1309 1822 0416 0446 0448 1310,34,F,H,101,400.0,IC,1,8.3475,2020,9,6,20,6,0.0
1500 N  WESTERN                      AV,34.0982,-118.3092,6,648,1,344,35,M,W,123,0.0,IC,0,16.695,2020,7,3,22,2,5.262690188904886
3900    GLENALBYN                    DR,34.0927,-118.2135,11,1158,2,2038 0913 1814,40,F,W,501,0.0,AO,2,51.145,2020,8,6,31,4,3.8918202981106265
1400 S  NORTON                       AV,34.0459,-118.3243,7,767,2,1906 0112,48,M,H,502,0.0,IC,2,29.362000000000002,2020,2,0,13,3,4.574710978503383
20200    GIFFORD                      ST,34.2051,-118.5754,21,2139,1,1420 2032 0344,26,F,W,101,0.0,IC,0,32.86,2020,8,4,7,4,0.0
1400 S  LA CIENEGA                   BL,34.0495,-118.3805,8,859,2,0446 0400 1814,20,F,W,210,400.0,AO,1,37.1,2020,4,5,3,4,3.2188758248682006
12500    VENICE                       BL,33.9978,-118.4456,14,1434,1,344,0,X,X,202,0.0,IC,0,0.6625,2020,10,3,22,3,0.0
5700 S  BUDLONG                      AV,33.9906,-118.2958,12,1215,1,1813 2000 0913 1309 0416 0419 0408 0429,33,F,B,501,400.0,AA,1,26.5,2020,5,1,12,1,0.0
6100    WILSHIRE                     BL,34.063,-118.3614,7,742,2,1814 1501,32,F,W,502,0.0,IC,5,38.425,2020,3,4,20,4,0.0
7000    LAUREL CANYON                BL,34.2003,-118.4002,15,1503,1,344,44,M,W,203,0.0,IC,0,18.55,2020,6,0,24,2,4.795790545596741
MAPLE,34.0296,-118.2613,1,195,1,0334 0416 0913 1814 2000 0443 2004 1218,35,F,B,101,400.0,IC,2,40.1475,2020,10,6,18,6,0.0
LINCOLN,33.9972,-118.4592,14,1415,2,0329 1218,63,M,W,102,0.0,IC,0,56.44499999999999,2020,3,2,3,1,3.2188758248682006
1500 S  PALOS VERDES                 ST,33.7306,-118.2814,5,567,2,2038,21,M,W,502,0.0,AA,2,48.495000000000005,2020,5,5,9,5,0.0
3500 E  8TH                          ST,34.0197,-118.2006,4,499,1,,0,,,101,0.0,IC,0,50.35,2020,12,4,17,3,3.2188758248682006
17100    ROSCOE                       BL,34.2214,-118.5055,17,1795,2,0913 1915 1823 1501,22,M,H,502,0.0,IC,3,32.595,2020,12,3,14,0,4.290459441148391
200 N  SPRING                       ST,34.054,-118.2435,1,124,1,0397 2032 0344 1822,30,M,W,109,0.0,IC,0,54.457499999999996,2020,6,3,29,4,4.976733742420574
300 E  1ST                          ST,34.0502,-118.2406,1,128,2,329,60,F,O,102,0.0,IC,0,27.295,2020,12,6,27,6,0.0
500 E  6TH                          ST,34.0423,-118.2452,1,157,2,1822 0417 0416,30,M,W,102,400.0,IC,1,50.35,2020,4,1,12,6,3.8918202981106265
200 S  BURLINGTON                   AV,34.0626,-118.2681,2,236,2,0913 0361 2038,41,F,H,121,0.0,AO,2,39.75,2020,8,5,8,5,0.0
19200    HARBORGATE                   WY,33.8561,-118.3035,5,504,1,344,33,M,B,503,0.0,IC,0,19.875,2020,5,6,20,2,4.574710978503383
77TH                         ST,33.9698,-118.2827,12,1257,1,1100 1402 1407 0216 0430 1309 1822 0342 1270 0906,23,M,B,101,102.0,IC,1,32.065,2020,12,6,27,6,0.0
25900    BELLE PORTE                  AV,33.7876,-118.3012,5,531,2,2038 0913 1906,26,F,W,710,0.0,AA,2,29.945,2020,9,3,17,3,0.0
21000    ERWIN                        ST,34.1828,-118.5916,21,2158,1,0321 0344 1402,38,M,W,108,0.0,AA,0,19.4775,2020,9,6,20,6,0.0
5000    OBAMA                        BL,34.0171,-118.3531,3,361,1,0325 0104 0216,19,X,X,402,0.0,IC,0,33.125,2020,1,5,25,5,0.0
800 S  ALVARADO                     ST,34.0549,-118.2778,2,265,1,2000 0416 1814 2038 0429 0913,33,F,B,203,400.0,AA,0,40.942499999999995,2020,8,0,17,0,0.0
700 N  MANHATTAN                    PL,34.0835,-118.3103,6,677,1,,0,,,101,0.0,IC,0,31.8,2020,5,5,21,3,3.8918202981106265
